date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:35	40770/40770	---M--	200	added ('OK')	image/webp	etag:%229f42-6476ec26-3c6e5b005780c830;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_01_Rabbit.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_01_Rabbit.webp	(from https://savagetale.xyz/)
20:20:36	59440/59440	---M--	200	added ('OK')	image/webp	etag:%22e830-6476ee7b-e161b6afbf15204b;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_01_Boar.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/FrontAnimals_01_Boar.webp	(from https://savagetale.xyz/)
20:20:36	85639/85639	---M--	200	added ('OK')	image/png	etag:%2214e87-659cfdd6-2eee18d70de72410;;;%22	https://savagetale.xyz/wp-content/uploads/2024/01/loading-logo-225x300.png	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2024/01/loading-logo-225x300.png	(from https://savagetale.xyz/)
20:20:37	68010/68010	---M--	200	added ('OK')	image/webp	etag:%22109aa-6482b63d-5823989617772450;;;%22	https://savagetale.xyz/wp-content/uploads/2023/06/crown-1.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/06/crown-1.webp	(from https://savagetale.xyz/)
20:20:37	52886/52886	---M--	200	added ('OK')	image/webp	etag:%22ce96-6476dc85-8e20dd7bd4d733f;;;%22	https://savagetale.xyz/wp-content/uploads/2023/05/CloudsFNL-2-scaled.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/05/CloudsFNL-2-scaled.webp	(from https://savagetale.xyz/)
20:20:38	154418/154418	---M--	200	added ('OK')	image/png	etag:%2225b32-659d875e-2caa979d30b2ecfb;;;%22	https://savagetale.xyz/wp-content/uploads/2024/01/SAVAGETALE_LOGO_003-1024x471.png	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2024/01/SAVAGETALE_LOGO_003-1024x471.png	(from https://savagetale.xyz/)
20:20:39	200082/200082	---M--	200	added ('OK')	image/webp	etag:%2230d92-64781b8f-38f20d7db57e2af9;;;%22	https://savagetale.xyz/wp-content/uploads/2023/06/Savage-Throne-king.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/06/Savage-Throne-king.webp	(from https://savagetale.xyz/)
20:20:59	88387/88387	---M--	200	added ('OK')	image/png	etag:%2215943-6354e3d1-1b44c45d324d8dd9;;;%22	https://click9studio.com/savage-kingdom/wp-content/uploads/2022/10/pattern2-small.png	C:/My%20Web%20Sites/SavageSale/click9studio.com/savage-kingdom/wp-content/uploads/2022/10/pattern2-small.png	(from https://savagetale.xyz/)
20:21:00	29664/29664	---M--	200	added ('OK')	image/webp	etag:%2273e0-641ae149-fd9994fe5acf8a17;;;%22	https://savagetale.xyz/wp-content/uploads/2023/03/trim-top-1024x169.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/03/trim-top-1024x169.webp	(from https://savagetale.xyz/)
20:21:01	10670/10670	---M--	200	added ('OK')	image/webp	etag:%2229ae-641ae18e-70d072c738238563;;;%22	https://savagetale.xyz/wp-content/uploads/2023/03/trim-top-mobile.webp	C:/My%20Web%20Sites/SavageSale/savagetale.xyz/wp-content/uploads/2023/03/trim-top-mobile.webp	(from https://savagetale.xyz/)
